start, end, dbtime1, dbtime2, dbtime3, dbtime4, dbtime5
1643315515898, 1643315519475, 372, 0, 211, 1206, 12
1643315516703, 1643315519618, 192, 0, 125, 671, 14
1643315517511, 1643315520035, 58, 0, 78, 606, 14
1643315518308, 1643315521068, 86, 0, 209, 470, 16
1643315519120, 1643315521896, 254, 0, 114, 501, 20
1643315519913, 1643315522839, 338, 0, 257, 456, 12
1643315520710, 1643315523314, 145, 0, 65, 446, 11
1643315521518, 1643315524142, 121, 0, 70, 558, 13
1643315522310, 1643315525132, 63, 0, 89, 730, 26
1643315523105, 1643315526277, 244, 0, 96, 847, 34
1643315524417, 1643315528288, 287, 0, 191, 1529, 14
1643315524706, 1643315528023, 136, 0, 173, 673, 601
1643315525526, 1643315527867, 56, 0, 71, 562, 12
1643315526319, 1643315529040, 95, 0, 128, 585, 13
1643315527123, 1643315529722, 336, 0, 105, 432, 16
1643315527915, 1643315530901, 161, 0, 123, 886, 9
1643315528722, 1643315532342, 446, 0, 128, 1176, 11
1643315529520, 1643315532435, 287, 0, 139, 572, 11
1643315530337, 1643315532728, 49, 0, 165, 404, 12
1643315531120, 1643315533420, 57, 0, 77, 406, 42
1643315531939, 1643315534745, 59, 0, 142, 813, 41
